,Champions with first RoleTop,Vladimir,Sylas,Akali,Annie,Yone,Ryze,Ekko,Rumble,Ahri,Cassiopeia,Diana,Galio,Yasuo,Talon,Zed,Neeko,Xerath,Viktor,Katarina,Orianna,Azir,Malzahar,Lissandra,Kassadin,Qiyana,Twisted Fate,Syndra,Anivia,Vel'Koz,Fizz,Zoe,Aurelion Sol,LeBlanc,Veigar,Corki
0,Camille,-0.11392405063291144,0.054263565891472965,0.02238805970149249,0.07317073170731714,0.08333333333333326,0.11764705882352944,0.15463917525773185,0.1200000000000001,0.05454545454545445,0.267605633802817,-0.15555555555555556,0.2406417112299466,0.12903225806451624,0.1785714285714286,0.19444444444444442,0.3913043478260869,-0.23076923076923073,0.0710382513661203,-0.10476190476190472,0.030303030303030276,0.33333333333333326,-0.4444444444444444,-0.15384615384615385,0.1063829787234043,0.23529411764705888,-0.1282051282051282,-0.006802721088435382,0.022222222222222143,-0.5,0.06557377049180335,0.026315789473684292,-0.25,-0.03703703703703709,0.5,-0.09090909090909094
1,Irelia,-0.2857142857142857,-0.0444444444444444,-0.1454545454545455,-0.052631578947368474,-0.07936507936507942,0.0,0.30434782608695654,-0.18181818181818177,-0.2941176470588235,0.13043478260869557,-0.6363636363636364,-0.23076923076923073,0.13043478260869557,0.17647058823529416,-0.2222222222222222,0.16666666666666674,-0.16666666666666663,-0.19354838709677424,-0.1428571428571429,-0.03703703703703709,0.5555555555555556,-0.1428571428571429,0.3999999999999999,0.33333333333333326,0.23529411764705888,-0.29032258064516125,-0.03448275862068961,0.08571428571428563,-0.19999999999999996,0.11627906976744184,0.1200000000000001,0.7142857142857142,-0.07692307692307687,0.0,-1.0
4,Volibear,-0.23076923076923073,-0.045454545454545414,-0.11764705882352944,-0.25,-0.027027027027026973,-0.33333333333333337,-0.09090909090909094,-0.2727272727272727,-0.5,0.11111111111111116,0.0,-0.04761904761904767,-0.11111111111111116,0.3999999999999999,0.07692307692307687,0.0,-1.0,-0.1515151515151515,0.16666666666666674,-0.52,0.0,-0.5,-1.0,0.5,0.3846153846153846,-0.5,0.0,0.33333333333333326,-1.0,-0.06666666666666665,0.6363636363636365,-1.0,-0.23076923076923073,-1.0,0.0
5,Renekton,-0.18518518518518523,0.05714285714285716,-0.03105590062111796,0.0,-0.20833333333333337,0.0,0.05263157894736836,0.1200000000000001,-0.03448275862068961,-0.03448275862068961,-0.23809523809523814,0.0786516853932584,-0.2142857142857143,-0.023255813953488413,-0.13636363636363635,0.4444444444444444,0.6666666666666667,-0.011235955056179803,0.016949152542372836,-0.17431192660550454,-0.5,0.3999999999999999,0.33333333333333326,0.09090909090909083,0.2727272727272727,-0.17460317460317465,-0.11111111111111116,-0.09090909090909094,0.5555555555555556,0.19999999999999996,0.061224489795918435,0.19999999999999996,0.23404255319148937,1.0,-0.1428571428571429
6,Riven,0.46666666666666656,0.11864406779661008,-0.19999999999999996,0.30000000000000004,0.02564102564102555,0.4285714285714286,0.0625,0.1428571428571428,0.2727272727272727,0.25,0.11111111111111116,-0.06666666666666665,0.0,-0.07692307692307687,0.0,-1.0,0.25,0.18918918918918926,-0.07692307692307687,-0.3023255813953488,-0.5555555555555556,0.19999999999999996,0.09090909090909083,0.3600000000000001,0.06666666666666665,0.0,-0.2592592592592593,0.11111111111111116,0.0,0.24137931034482762,0.36363636363636354,0.33333333333333326,-0.07692307692307687,1.0,0.0
7,Aatrox,-0.1282051282051282,0.10280373831775691,-0.07878787878787874,-0.4285714285714286,-0.04854368932038833,-0.23076923076923073,0.07547169811320753,-0.19999999999999996,-0.04347826086956519,-0.33333333333333337,0.07692307692307687,0.15384615384615374,0.18518518518518512,0.2727272727272727,-0.1351351351351351,0.11111111111111116,0.5294117647058822,-0.1132075471698113,0.0,0.02970297029702973,-0.040000000000000036,0.19999999999999996,0.5,0.24137931034482762,0.21212121212121215,0.24528301886792447,-0.16883116883116878,0.13207547169811318,-0.5555555555555556,0.23636363636363633,0.04761904761904767,0.4285714285714286,-0.018867924528301883,0.33333333333333326,1.0
8,Wukong,-0.11111111111111116,-0.13725490196078427,0.1333333333333333,0.33333333333333326,-0.08571428571428574,-0.09090909090909094,-0.018181818181818188,0.26315789473684204,-0.11111111111111116,0.0,0.1428571428571428,0.18367346938775508,0.0,0.11111111111111116,0.08333333333333326,-0.33333333333333337,0.5555555555555556,0.018181818181818077,-0.03448275862068961,-0.061224489795918324,-0.11111111111111116,0.33333333333333326,0.25,-0.052631578947368474,-0.09090909090909094,0.24137931034482762,0.33333333333333326,-0.07317073170731703,-0.33333333333333337,0.11111111111111116,0.19999999999999996,0.33333333333333326,-0.4285714285714286,0.33333333333333326,-1.0
11,Shen,0.19999999999999996,0.1515151515151516,-0.13761467889908252,0.19999999999999996,-0.08333333333333337,0.33333333333333326,-0.19999999999999996,0.2857142857142858,0.16666666666666674,-0.1333333333333333,0.5714285714285714,0.18181818181818188,-0.04347826086956519,0.5,-0.05882352941176472,-0.09090909090909094,0.4545454545454546,0.03614457831325302,0.11627906976744184,0.04651162790697683,0.6363636363636365,0.19999999999999996,0.3999999999999999,0.10526315789473695,0.125,0.18918918918918926,-0.0357142857142857,-0.1515151515151515,-0.5,0.07317073170731714,0.11864406779661008,-0.19999999999999996,0.05555555555555558,-0.6,0.6000000000000001
13,Kennen,0.09090909090909083,0.4736842105263157,-0.21739130434782605,1.0,-0.04761904761904767,-0.33333333333333337,0.034482758620689724,0.5,0.0,-0.19999999999999996,0.5,0.11764705882352944,0.1428571428571428,-0.05882352941176472,0.3076923076923077,-0.33333333333333337,-0.33333333333333337,0.15999999999999992,0.09090909090909083,-0.30612244897959184,-0.33333333333333337,1.0,0.5,0.3999999999999999,0.1499999999999999,-0.09999999999999998,0.24137931034482762,-0.07692307692307687,0.0,-0.125,0.08571428571428563,0.33333333333333326,-0.05882352941176472,-0.33333333333333337,0.0
15,Urgot,-0.19999999999999996,-0.33333333333333337,-0.1578947368421053,-1.0,0.5384615384615385,-0.1428571428571429,0.4545454545454546,0.11111111111111116,0.0,-0.4285714285714286,0.0,0.33333333333333326,-0.33333333333333337,0.0,-1.0,0.0,-0.5,0.5,0.0,-0.4,0.0,-1.0,-0.33333333333333337,-0.1428571428571429,0.0,0.0,0.25,-0.25,0.0,-0.11111111111111116,0.125,0.33333333333333326,0.33333333333333326,-1.0,0.0
